timestep_time,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y
0.0,0.0,2416.04,0.01,0.72,0.01,42.25,HBEFA3/PC_G_EU4,0.0,1.04,veh0,5330181#0_0,65.15,5.1,!veh0!var#1,14.72,veh_passenger,0.0,18279.94,24533.12
1.0,0.0,3521.18,0.0,0.0,0.0,42.25,HBEFA3/PC_G_EU4,0.0,0.0,veh0,5330181#0_0,62.72,18.85,!veh0!var#1,13.75,veh_passenger,0.0,18289.19,24543.3
2.0,0.0,4892.35,0.0,0.0,0.0,42.25,HBEFA3/PC_G_EU4,0.0,0.0,veh0,5330181#0_0,61.3,31.36,!veh0!var#1,12.51,veh_passenger,0.0,18297.59,24552.56
3.0,0.0,6234.67,0.0,0.0,0.0,40.62,HBEFA3/PC_G_EU4,0.0,0.0,veh0,5330181#0_0,55.09,39.88,!veh0!var#1,8.52,veh_passenger,0.0,18303.19,24558.98
4.0,0.0,7856.23,0.0,0.0,0.0,34.08,HBEFA3/PC_G_EU4,0.0,0.0,veh0,:37981946_10_0,48.52,3.9,!veh0!var#1,4.77,veh_passenger,0.0,18305.84,24562.94
5.0,126.95,9445.89,0.71,2.46,0.11,352.59,HBEFA3/PC_G_EU4,0.0,2.44,veh0,:37981946_18_0,67.66,4.76,!veh0!var#1,6.79,veh_passenger,0.0,18305.54,24569.55
6.0,111.13,11203.76,0.64,2.5,0.11,317.63,HBEFA3/PC_G_EU4,0.0,2.51,veh0,744926153#3_0,67.11,4.53,!veh0!var#1,8.49,veh_passenger,0.0,18300.15,24576.09
7.0,126.41,13567.92,0.76,3.24,0.15,325.43,HBEFA3/PC_G_EU4,0.0,3.23,veh0,744926153#3_0,69.25,14.99,!veh0!var#1,10.47,veh_passenger,0.0,18293.73,24584.32
8.0,89.45,15234.18,0.56,2.61,0.12,332.73,HBEFA3/PC_G_EU4,0.0,2.69,veh0,744926153#3_0,67.38,26.79,!veh0!var#1,11.79,veh_passenger,0.0,18287.86,24594.52
9.0,148.13,17892.45,0.91,4.23,0.21,339.62,HBEFA3/PC_G_EU4,0.0,4.22,veh0,744926153#3_0,71.33,40.65,!veh0!var#1,13.86,veh_passenger,0.0,18282.14,24607.12
10.0,0.0,19234.78,0.03,0.72,0.01,344.78,HBEFA3/PC_G_EU4,0.0,1.02,veh0,744926153#3_0,64.57,54.52,!veh0!var#1,13.87,veh_passenger,0.0,18278.16,24620.4
11.0,1.99,21456.32,0.07,0.9,0.02,352.18,HBEFA3/PC_G_EU4,0.0,1.18,veh0,744926153#3_0,64.9,68.51,!veh0!var#1,13.98,veh_passenger,0.0,18275.98,24634.2
12.0,30.36,23678.91,0.24,1.6,0.06,358.9,HBEFA3/PC_G_EU4,0.0,1.84,veh0,744926153#3_0,66.23,82.99,!veh0!var#1,14.48,veh_passenger,0.0,18275.69,24648.67
13.0,0.0,25123.45,0.0,0.0,0.0,0.12,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#3_0,62.48,96.48,!veh0!var#1,13.49,veh_passenger,0.0,18275.69,24662.17
14.0,9.66,27456.82,0.11,1.04,0.03,0.27,HBEFA3/PC_G_EU4,0.0,1.31,veh0,744926153#3_0,64.93,110.18,!veh0!var#1,13.7,veh_passenger,0.0,18275.76,24675.86
15.0,0.0,29782.34,0.0,0.0,0.0,0.33,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#3_0,64.28,123.82,!veh0!var#1,13.64,veh_passenger,0.0,18275.83,24689.51
16.0,48.99,32234.67,0.34,2.02,0.08,0.33,HBEFA3/PC_G_EU4,0.0,2.21,veh0,744926153#3_0,66.87,138.2,!veh0!var#1,14.38,veh_passenger,0.0,18275.92,24703.89
17.0,0.0,34567.89,0.0,0.0,0.0,0.33,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#3_0,62.72,151.74,!veh0!var#1,13.54,veh_passenger,0.0,18275.99,24717.43
18.0,37.96,37123.56,0.28,1.74,0.07,0.33,HBEFA3/PC_G_EU4,0.0,1.95,veh0,744926153#3_0,66.28,165.87,!veh0!var#1,14.13,veh_passenger,0.0,18276.08,24731.56
19.0,16.77,39456.78,0.16,1.29,0.04,0.33,HBEFA3/PC_G_EU4,0.0,1.55,veh0,744926153#3_0,65.74,180.33,!veh0!var#1,14.45,veh_passenger,0.0,18276.16,24746.01
20.0,0.0,41892.34,0.0,0.0,0.0,0.33,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#3_0,63.91,194.4,!veh0!var#1,14.08,veh_passenger,0.0,18276.24,24760.09
21.0,0.0,44234.56,0.0,0.0,0.0,0.33,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#3_0,63.93,208.21,!veh0!var#1,13.81,veh_passenger,0.0,18276.32,24773.89
22.0,0.0,46567.89,0.0,0.0,0.0,0.33,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#3_0,64.26,221.93,!veh0!var#1,13.72,veh_passenger,0.0,18276.4,24787.62
23.0,0.0,48923.45,0.0,0.0,0.0,0.33,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#3_0,60.38,233.96,!veh0!var#1,12.02,veh_passenger,0.0,18276.47,24799.64
24.0,0.0,51234.67,0.0,0.0,0.0,0.33,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#3_0,53.44,241.48,!veh0!var#1,7.52,veh_passenger,0.0,18276.51,24807.16
25.0,104.2,53789.23,0.61,2.46,0.11,359.73,HBEFA3/PC_G_EU4,0.0,2.5,veh0,:37981975_5_0,66.88,5.43,!veh0!var#1,9.09,veh_passenger,0.0,18276.5,24816.25
26.0,93.65,56234.78,0.57,2.49,0.11,359.62,HBEFA3/PC_G_EU4,0.0,2.55,veh0,744926153#6_0,66.93,1.27,!veh0!var#1,10.49,veh_passenger,0.0,18276.44,24826.73
27.0,147.46,58892.45,0.9,4.07,0.2,0.84,HBEFA3/PC_G_EU4,0.0,4.04,veh0,744926153#6_0,71.12,13.92,!veh0!var#1,12.66,veh_passenger,0.0,18276.54,24839.38
28.0,146.89,61456.89,0.91,4.29,0.21,0.82,HBEFA3/PC_G_EU4,0.0,4.29,veh0,744926153#6_0,71.38,28.56,!veh0!var#1,14.64,veh_passenger,0.0,18276.75,24854.02
29.0,0.0,63789.34,0.02,0.73,0.01,0.85,HBEFA3/PC_G_EU4,0.0,1.05,veh0,744926153#6_0,65.11,43.21,!veh0!var#1,14.65,veh_passenger,0.0,18276.97,24868.66
30.0,0.0,66234.78,0.0,0.0,0.0,359.31,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#6_0,62.66,56.88,!veh0!var#1,13.68,veh_passenger,0.0,18277.04,24882.34
31.0,0.0,68567.92,0.0,0.0,0.0,358.58,HBEFA3/PC_G_EU4,0.0,0.0,veh0,744926153#6_0,59.15,68.18,!veh0!var#1,11.3,veh_passenger,0.0,18276.76,24893.63
32.0,0.0,70892.56,0.0,0.0,0.0,353.61,HBEFA3/PC_G_EU4,0.0,0.0,veh0,:37980090_6_0,52.2,2.94,!veh0!var#1,6.8,veh_passenger,0.0,18276.16,24900.39
